,Full_Name,Overall,Potential,Value(in_Euro),Positions_Played,Best_Position,Nationality,Age,Club_Name,Wage(in_Euro),Release_Clause,Defending_Total,Physicality_Total,Position_Category
8598,Sullay Kaikai,66,66,925000,"LW,CAM,RWB",LW,Sierra Leone,26,Wycombe Wanderers,4000,1600000,48,48,Attack
8599,Vicente Taborda,66,76,1900000,"LM,CAM,LW",ST,Argentina,21,Platense,4000,0,50,63,Attack
8600,Espen Bjørnsen Garnås,66,68,900000,CB,CB,Norway,27,Lillestrøm SK,2000,1200000,65,79,Defense
8601,Lucas Kruspzky,66,66,725000,LB,LB,Argentina,30,Patronato,4000,1100000,64,63,Defense
8602,Edisson Jordanov,66,66,750000,"RB,RM,LB",RB,Bulgaria,29,KVC Westerlo,4000,1100000,61,57,Defense
8603,Michał Chrapek,66,66,825000,"CM,CAM,CDM",CM,Poland,30,Piast Gliwice,3000,1100000,63,65,Midfield
8604,Adam Zreľák,66,66,875000,ST,ST,Slovakia,28,Warta Poznań,2000,1200000,29,76,Attack
8605,Joris Kramer,66,69,1000000,CB,CB,Netherlands,25,N.E.C. Nijmegen,3000,1600000,66,69,Defense
8606,Radoslav Dimitrov,66,66,450000,RB,RB,Bulgaria,33,Sepsi OSK Sf. Gheorghe,4000,608000,63,70,Defense
8607,Baptiste Roux,66,73,1600000,"CB,CDM",CB,France,22,En Avant de Guingamp,2000,3100000,66,68,Defense
8608,Warleson Lisboa Oliveira,66,70,925000,GK,GK,Brazil,25,KSV Cercle Brugge,3000,1400000,27,63,Goalkeeper
8609,Hamza Mendyl,66,71,1200000,"LB,LWB",LB,Morocco,24,Oud-Heverlee Leuven,4000,1900000,61,65,Defense
8610,Matti Steinmann,66,66,900000,"CM,CDM",CM,Germany,27,Brisbane Roar,2000,1100000,64,75,Midfield
8611,Elías Pereyra,66,74,1800000,"LB,LWB",LWB,Argentina,23,Godoy Cruz,3000,3100000,63,58,Defense
8612,Elias Huth,66,68,1100000,ST,ST,Germany,25,FC Erzgebirge Aue,2000,1700000,41,74,Attack
8613,Kyle Dempsey,66,67,1000000,"CM,CAM",CM,England,26,Bolton Wanderers,4000,1800000,60,72,Midfield
8614,Cameron McGeehan,66,67,975000,"CM,CDM,CAM",CAM,Northern Ireland,27,KV Oostende,4000,1500000,61,71,Midfield
8615,Mateus Gonçalo Espanha Fernandes,66,85,2100000,"CM,CAM",CAM,Portugal,17,Sporting CP,500,5500000,51,62,Midfield
8616,Nigel Thomas,66,77,1800000,"LW,RW",RM,Netherlands,19,FC Paços de Ferreira,2000,4099999,27,51,Midfield
8617,Chi Zhang,66,66,325000,"RB,RM",RB,China PR,34,Shandong Taishan,6000,520000,64,70,Defense
8618,Noah Diliberto,66,76,1900000,"CM,CDM",CAM,France,20,Valenciennes FC,2000,3700000,52,53,Midfield
8619,Sergio Román,66,69,850000,GK,GK,Colombia,27,La Equidad,550,1200000,43,68,Goalkeeper
8620,Luis Pavez,66,67,925000,"LB,LM",LB,Chile,26,Unión Española,2000,1300000,59,69,Defense
8621,Francisco La Mantía,66,70,1100000,"CB,CDM",CB,Venezuela,26,Deportivo La Guaira FC,500,2400000,67,70,Defense
8622,Javier Pérez Mateo,66,69,1000000,"CDM,CM,CAM",CM,Spain,26,Burgos CF,2000,1600000,64,68,Midfield
8623,Dario Čanađija,66,66,750000,"CDM,CM",CDM,Croatia,28,Aalesunds FK,1000,938000,62,72,Other
8624,Assim Madibo,66,70,0,"CDM,CM",CDM,Qatar,25,Free agent,0,0,65,74,Other
8625,Alasana Manneh,66,70,1200000,"CM,CDM",CAM,Gambia,24,Odense Boldklub,4000,1600000,58,59,Midfield
8626,Aníbal Leguizamón,66,66,700000,CB,CB,Argentina,30,CS Emelec,500,1500000,66,72,Defense
8627,Johan Hammar,66,68,850000,CB,CB,Sweden,28,BK Häcken,2000,1100000,66,71,Defense
8628,Manfred Gollner,66,66,575000,"CB,LB",CB,Austria,31,TSV Egger Glas Hartberg,3000,834000,67,75,Defense
8629,Luis Del Pino Mago,66,67,850000,"CB,LB",CB,Venezuela,27,Club Atlético Banfield,4000,1300000,66,69,Defense
8630,Dominik Kother,66,73,1700000,LM,RW,Germany,22,SV Waldhof Mannheim 07,4000,0,21,49,Attack
8631,Tongo Doumbia,66,66,575000,"CDM,CM",CB,Mali,32,Western United FC,1000,719000,64,81,Defense
8632,Marin Jakoliš,66,69,1100000,"ST,LM",ST,Croatia,25,Angers SCO,7000,2300000,49,58,Attack
8633,Jesús Pretell,66,71,1200000,"CDM,CM",CDM,Peru,23,Club Sporting Cristal,500,2700000,63,64,Other
8634,Juan Pedro Jiménez Melero,66,69,1100000,"CM,CDM",RM,Spain,26,CD Lugo,3000,1800000,59,72,Midfield
8635,Jack Walton,66,71,1000000,GK,GK,England,24,Barnsley,3000,1800000,34,67,Goalkeeper
8636,Adam Andersson,66,69,1000000,"LB,RB",LB,Sweden,25,Randers FC,2000,0,60,67,Defense
8637,Marcos Enrique,66,77,1800000,CDM,CDM,Argentina,22,Cerro Largo Fútbol Club,500,4200000,62,73,Other
8638,Filipe Guterres Nascimento,66,67,975000,"CM,CDM",CAM,Portugal,27,Radomiak Radom,2000,1400000,53,60,Midfield
8639,Luca Sangalli Fuentes,66,66,900000,"CM,CAM",CAM,Spain,27,FC Cartagena,3000,1400000,58,61,Midfield
8640,Jefferson Epazo,66,66,90000,GK,GK,Bolivia,38,Club Deportivo Jorge Wilstermann,500,194000,36,65,Goalkeeper
8641,Oğuzhan Berber,66,66,725000,"RB,RWB,LB",RB,Turkey,30,İstanbulspor,4000,1400000,63,67,Defense
8642,Mike Cestor,66,66,700000,CB,CB,Congo DR,30,Campionii FC Arges,2000,945000,64,76,Defense
8643,Mustafa Malaeka,66,66,90000,GK,GK,Saudi Arabia,36,Al Fateh,4000,149000,47,65,Goalkeeper
8644,Noah Weißhaupt,66,77,1900000,"LM,CF",RM,Germany,20,Sport-Club Freiburg,6000,3600000,32,46,Midfield
8645,Ravil Tagir,66,79,1900000,CB,CB,Turkey,19,KVC Westerlo,5000,0,67,63,Defense
8646,Ramón Enríquez Rodríguez,66,76,1900000,"CM,CDM",CAM,Spain,21,Málaga CF,2000,3400000,57,63,Midfield
8647,Ched Evans,66,66,550000,ST,ST,Wales,33,Preston North End,11000,1000000,40,78,Attack
8648,JT Marcinkowski,66,70,925000,GK,GK,United States,25,San Jose Earthquakes,2000,1500000,22,66,Goalkeeper
8649,Randell Williams,66,69,1100000,"RM,LW,RWB",LM,England,25,Hull City,5000,2200000,55,64,Midfield
8650,Ronan Curtis,66,66,925000,"LM,ST",LM,Republic of Ireland,26,Portsmouth,4000,1600000,48,76,Midfield
8651,Abdulfatah Aseri,66,66,850000,"RM,CAM",LW,Saudi Arabia,28,Al Nassr,11000,1400000,28,45,Attack
8652,Wenderson Oliviera,66,70,1200000,"LM,CM",RM,Brazil,23,IFK Värnamo,1000,1600000,35,63,Midfield
8653,Lars Vilsvik,66,66,450000,RB,RB,Norway,33,Strømsgodset IF,2000,563000,62,70,Defense
8654,Bogdan Țîru,66,67,800000,CB,CB,Romania,28,Jagiellonia Białystok,3000,1100000,65,79,Defense
8655,Macaulay Gillesphey,66,68,925000,CB,CB,England,26,Plymouth Argyle,4000,1700000,64,79,Defense
8656,Santiago Romero,66,66,675000,"CM,RM,CDM",CB,Uruguay,32,Liverpool Fútbol Club,500,1500000,65,72,Defense
8657,Emmanuel Boateng,66,66,850000,"LM,RM",LM,Ghana,28,New England Revolution,3000,1300000,41,63,Midfield
8658,António João Tavares Silva,66,86,2200000,CB,CB,Portugal,18,SL Benfica,1000,6600000,65,70,Defense
8659,Renzo Giampaoli,66,73,1600000,CB,CB,Argentina,22,Rosenborg BK,4000,0,64,71,Defense
8660,Guillaume François,66,66,600000,"RWB,RM,RB",RWB,Belgium,32,Royale Union Saint-Gilloise,5000,900000,64,65,Defense
8661,Vesel Demaku,66,73,1600000,"CDM,CM",CDM,Austria,22,SK Sturm Graz,5000,2700000,63,67,Other
8662,Žan Majer,66,66,825000,CM,CM,Slovenia,29,Urbs Reggina 1914,1000,1300000,51,64,Midfield
8663,Sai van Wermeskerken,66,66,775000,"RB,LB",RB,Japan,28,SC Cambuur,3000,1100000,60,64,Defense
8664,Tomás Galván,66,76,1900000,"CAM,CM",CAM,Argentina,22,Defensa y Justicia,4000,0,35,46,Midfield
8665,Cristopher Varela,66,76,1700000,GK,GK,Venezuela,22,Deportivo Táchira FC,500,4000000,33,65,Goalkeeper
8666,Andre Bava Shinyashiki,66,69,1100000,"LM,ST,CAM",LM,Brazil,25,Charlotte FC,2000,1700000,39,62,Midfield
8667,Rafał Kurzawa,66,66,850000,LM,CAM,Poland,29,Pogoń Szczecin,3000,1100000,61,58,Midfield
8668,Roman Buess,66,66,850000,ST,RM,Switzerland,29,FC Winterthur,3000,1200000,42,72,Midfield
8669,Valentín Viola,66,66,850000,"ST,LM,RM",ST,Argentina,30,Barracas Central,4000,1200000,34,65,Attack
8670,Kevin Rolón,66,74,1800000,"LB,LM,LWB",LWB,Uruguay,21,Montevideo Wanderers,500,4200000,62,49,Defense
8671,Gabriel Slonina,66,81,1700000,GK,GK,United States,18,Chicago Fire Football Club,2000,0,41,65,Goalkeeper
8672,Dan Potts,66,66,725000,"CB,LB,LWB",CB,England,28,Luton Town,10000,1400000,66,68,Defense
8673,Will Bruin,66,66,700000,ST,ST,United States,32,Seattle Sounders FC,3000,1100000,36,75,Attack
8674,Alexander Díaz,66,76,1900000,ST,ST,Argentina,22,Arsenal de Sarandí,4000,0,32,68,Attack
8675,Álexander Petxarroman,66,71,1200000,RB,RWB,Spain,25,FC Andorra,6000,0,61,65,Defense
8676,Zarek Valentin,66,66,725000,RB,RB,Puerto Rico,30,Houston Dynamo,2000,1100000,64,69,Defense
8677,Amir Richardson,66,77,1800000,"CDM,CM",CM,France,20,Le Havre AC,5000,0,61,71,Midfield
8678,Diego Méndez,66,66,450000,GK,GK,Bolivia,31,Royal Pari,500,968000,30,67,Goalkeeper
8679,Cao Gu,66,66,150000,CB,CB,China PR,36,Henan Songshan Longmen FC,2000,233000,66,75,Defense
8680,Michael Cheukoua,66,69,1100000,"RW,LW,RM",ST,Cameroon,25,Austria Lustenau,3000,1700000,30,62,Attack
8681,Matt Smith,66,77,1900000,CM,CAM,Wales,22,Milton Keynes Dons,3000,3700000,60,69,Midfield
8682,Willian Cevallos,66,66,675000,"CM,CDM",CAM,Ecuador,32,C.D. Universidad Católica del Ecuador,500,1500000,60,65,Midfield
8683,Sebastián Prieto,66,66,750000,LB,LB,Argentina,29,Club Atlético Tigre,4000,1100000,61,67,Defense
8684,Dennis Dressel,66,72,1200000,"CDM,CM,LWB",CM,Germany,23,F.C. Hansa Rostock,3000,2100000,60,72,Midfield
8685,Mattia Proietti,66,66,725000,"CDM,CM",CDM,Italy,30,Ternana,2000,1100000,59,67,Other
8686,Scott Fraser,66,67,975000,CM,CAM,Scotland,27,Charlton Athletic,4000,1800000,55,63,Midfield
8687,Clark Robertson,66,67,800000,"CB,LB",CB,Scotland,28,Portsmouth,4000,1500000,66,71,Defense
8688,Andreas Schjelderup,66,83,2200000,"CAM,LW,ST",CAM,Norway,18,FC Nordsjælland,1000,4099999,35,47,Midfield
8689,Théo Ndicka Matam,66,73,1600000,"LWB,LB,LM",LWB,France,22,KV Oostende,3000,2600000,57,66,Defense
8690,Jeremy Sarmiento,66,80,2100000,"RM,LM",CAM,Ecuador,20,Brighton & Hove Albion,12000,5300000,29,52,Midfield
8691,Fernando Romero,66,77,1900000,ST,ST,Paraguay,22,Club Cerro Porteño,500,4600000,25,67,Attack
8692,Jordan Williams,66,72,1300000,"RWB,RB,LWB",RWB,England,22,Barnsley,3000,2500000,63,65,Defense
8693,Dejan Sorgić,66,66,700000,ST,ST,Serbia,32,FC Luzern,5000,1000000,40,67,Attack
8694,Alexandru Albu,66,66,750000,"CDM,CB,CM",CDM,Romania,28,Rapid București,4000,1000000,63,76,Other
8695,Daniel Hernández,66,66,700000,"CAM,RM",CAM,Colombia,31,América de Cali,1000,980000,30,55,Midfield
8696,Mads Lauritsen,66,66,725000,CB,CB,Denmark,29,Viborg FF,4000,906000,67,74,Defense
8697,Facundo Queiroz,66,70,1100000,CB,CB,Uruguay,24,Delfín Sporting Club,500,2400000,66,69,Defense
8698,Ruan Tressoldi Netto,66,71,1200000,CB,CB,Brazil,23,U.S. Sassuolo Calcio,7000,2100000,68,63,Defense
8699,Nathan Patterson,66,81,2000000,"RB,RWB",RB,Scotland,20,Everton,7000,5100000,62,69,Defense
8700,Tanner Tessmann,66,80,1900000,"CDM,CM",CM,United States,20,Venezia FC,1000,4200000,59,72,Midfield
8701,Oleksiy Shevchenko,66,66,575000,GK,GK,Ukraine,30,Shakhtar Donetsk,500,1300000,25,65,Goalkeeper
8702,Antônio Rodrigues,66,73,1600000,CB,CB,Brazil,24,San Jose Earthquakes,2000,2700000,67,67,Defense
8703,Adis Jasic,66,78,1900000,"RB,RWB,LWB",RB,Austria,19,RZ Pellets Wolfsberger AC,2000,3100000,60,68,Defense
8704,Harlee Dean,66,66,700000,CB,CB,England,30,Birmingham City,9000,1300000,65,73,Defense
8705,Daichi Hayashi,66,70,1200000,ST,ST,Japan,25,Sint-Truidense VV,5000,1800000,30,69,Attack
8706,Myron van Brederode,66,79,2000000,LW,RM,Netherlands,18,AZ Alkmaar,1000,4300000,25,51,Midfield
8707,Gonzalo Espinoza,66,66,675000,"CM,CDM",CM,Chile,32,Unión Española,2000,911000,59,85,Midfield
8708,Ricardo Manuel Pinho Matos,66,77,1900000,ST,ST,Portugal,22,Portimonense SC,3000,4400000,28,62,Attack
8709,Xin Tang,66,66,625000,"LB,RB",LB,China PR,31,Chengdu Rongcheng F.C.,3000,969000,64,68,Defense
8710,Daniel Udoh,66,68,1100000,ST,ST,Nigeria,25,Shrewsbury Town,4000,2000000,39,78,Attack
8711,Kofi Schulz,66,66,600000,"LB,LWB,CB",LB,Germany,32,WSG Tirol,3000,870000,62,79,Defense
8712,Patrick Weihrauch,66,66,850000,"CM,CAM",CAM,Germany,28,SG Dynamo Dresden,3000,1200000,54,61,Midfield
8713,Jayden Stockley,66,66,875000,ST,ST,England,28,Charlton Athletic,5000,1500000,34,81,Attack
8714,Jack Tucker,66,73,1600000,CB,CB,England,22,Milton Keynes Dons,3000,3100000,65,79,Defense
8715,Jason Lokilo,66,72,1400000,"RM,LM,ST",CAM,Congo DR,23,Sparta Rotterdam,3000,2300000,27,51,Midfield
8716,Diego Alende López,66,73,1600000,"CB,RB",CB,Spain,24,FC Andorra,2000,2800000,66,68,Defense
8717,Matheus Salgueiro Pains,66,73,1600000,CDM,CDM,Brazil,22,Vitória de Guimarães,3000,3700000,63,72,Other
8718,Ricardo Phillips,66,74,1900000,"LM,LW",LM,Panama,21,9 de Octubre,500,4500000,52,56,Midfield
8719,Milan Rundić,66,66,700000,CB,CB,Serbia,30,Raków Częstochowa,4000,945000,64,75,Defense
8720,Kelyan Guessoum,66,75,1800000,CB,CB,France,23,Nîmes Olympique,2000,3500000,67,62,Defense
8721,Elliott Moore,66,69,1000000,CB,CB,England,25,Oxford United,3000,1800000,66,81,Defense
8722,Tobias Heintz,66,70,1200000,"CAM,LM",CAM,Norway,23,Sarpsborg 08 FF,2000,0,37,59,Midfield
8723,Carl Winchester,66,66,750000,RB,RB,Northern Ireland,29,Shrewsbury Town,5000,0,59,75,Defense
8724,Conor McGrandles,66,66,925000,"CM,CDM",CDM,Scotland,26,Charlton Athletic,4000,1600000,61,78,Other
8725,Cameron Burgess,66,67,875000,CB,CB,Australia,26,Ipswich Town,4000,1600000,65,78,Defense
8726,Julián Brea,66,75,1900000,"LM,ST",RM,Argentina,22,Club Atlético Sarmiento,3000,3100000,30,46,Midfield
8727,Leo Weinkauf,66,70,925000,GK,GK,Germany,25,Hannover 96,6000,1500000,35,69,Goalkeeper
8728,Niko Hämäläinen,66,68,975000,"LB,LWB",LB,Finland,25,Queens Park Rangers,9000,1900000,61,60,Defense
8729,David Kiki,66,66,775000,LB,LB,Benin,28,FC Farul Constanța,4000,1000000,61,71,Defense
8730,Rafik Zekhnini,66,72,1400000,"RM,LM,ST",RM,Norway,24,Molde FK,2000,2000000,31,44,Midfield
8731,Aldair Neves Paulo Faustino,66,76,1800000,"RB,RM",RB,Portugal,22,SD Ponferradina,2000,3200000,66,55,Defense
8732,Daryl Horgan,66,66,850000,CAM,RM,Republic of Ireland,29,Wycombe Wanderers,3000,1500000,33,58,Midfield
8733,Jakob Ahlmann,66,66,625000,"LB,LM",LB,Denmark,31,Aalborg BK,4000,781000,63,67,Defense
8734,Burak Kapacak,66,73,1700000,"RM,LM,RB",RM,Turkey,22,Fatih Karagümrük S.K.,14000,0,50,60,Midfield
8735,Michael Nottingham,66,66,400000,CB,CB,Saint Kitts and Nevis,33,Accrington Stanley,2000,700000,66,75,Defense
8736,Naomichi Ueda,66,68,900000,CB,CB,Japan,27,Nîmes Olympique,2000,1600000,67,70,Defense
8737,Kayky da Silva Chagas,66,86,2400000,RW,LM,Brazil,19,FC Paços de Ferreira,17000,0,28,45,Midfield
8738,Víctor Campuzano Bonilla,66,71,1300000,"ST,CAM",ST,Spain,25,Real Sporting de Gijón,3000,2200000,19,65,Attack
8739,Logan Ndenbe,66,73,1600000,LB,LWB,Belgium,22,Sporting Kansas City,2000,2600000,60,68,Defense
8740,Alex Palmer,66,71,1000000,GK,GK,England,25,West Bromwich Albion,7000,2000000,30,65,Goalkeeper
8741,Panagiotis Vlachodimos,66,66,825000,"LM,LW",LM,Greece,30,SG Dynamo Dresden,3000,1200000,34,60,Midfield
8742,Kristian Eriksen,66,67,1000000,"CAM,RM",CAM,Norway,26,Molde FK,2000,1300000,36,68,Midfield
8743,Pablo Gozálbez Gilabert,66,77,1900000,"CAM,CM",CAM,Spain,21,Valencia CF,7000,4400000,49,49,Midfield
8744,Carlos Ribera,66,70,1200000,"CM,CDM",CAM,Bolivia,25,Royal Pari,500,2700000,62,58,Midfield
8745,Daniël van Kaam,66,72,1400000,"CM,CDM",CM,Netherlands,22,SC Cambuur,3000,2300000,60,60,Midfield
8746,Karlo Lulić,66,69,1100000,"CM,CAM",CAM,Croatia,26,Frosinone,1000,1800000,53,68,Midfield
8747,Konstantin Kerschbaumer,66,66,825000,"CM,CAM,CDM",CM,Austria,30,RZ Pellets Wolfsberger AC,5000,1200000,60,76,Midfield
8748,Arno Verschueren,66,69,1100000,"CM,CAM,CDM",CM,Belgium,25,Sparta Rotterdam,3000,1700000,65,69,Midfield
8749,Gaëtan Karlen,66,66,850000,ST,ST,Switzerland,29,FC Sion,8000,1200000,41,71,Attack
8750,Mo Eisa,66,66,925000,ST,ST,Sudan,27,Milton Keynes Dons,4000,1600000,24,63,Attack
8751,Dan Butler,66,66,825000,"LWB,LB,CB",LWB,England,27,Peterborough United,4000,1400000,61,73,Defense
8752,Jordan Shipley,66,72,1300000,"CM,LW,LWB",CAM,Republic of Ireland,24,Shrewsbury Town,3000,2500000,60,64,Midfield
8753,Mario Maloča,66,66,400000,CB,CB,Croatia,33,Lechia Gdańsk,3000,540000,65,71,Defense
8754,Bruno Edgar Silva Almeida,66,66,750000,"CDM,CM",CDM,Brazil,28,Bengaluru FC,850,1000000,61,79,Other
8755,Tommy Doyle,66,80,2100000,"CM,CDM",CM,England,20,Sheffield United,20000,0,59,65,Midfield
8756,Johan Kappelhof,66,66,575000,"CB,RB",CB,Netherlands,31,Real Salt Lake,2000,834000,66,69,Defense
8757,Ovidiu Bic,66,66,750000,"CDM,CM",CDM,Romania,28,Universitatea Cluj,2000,1000000,61,72,Other
8758,Frederic Ananou,66,69,1100000,"RB,LB,LWB",CB,Togo,24,F.C. Hansa Rostock,3000,1800000,64,70,Defense
8759,Memo Rodriguez,66,67,1000000,"CAM,CM,LW",CAM,United States,26,Houston Dynamo,3000,1500000,54,59,Midfield
8760,Raúl Castro,66,66,575000,"CDM,CM",CDM,Bolivia,32,Club Deportivo Jorge Wilstermann,500,1200000,69,51,Other
8761,Syam Ben Youssef,66,66,400000,CB,CB,Tunisia,33,US Quevilly Rouen Métropole,2000,700000,67,66,Defense
8762,Nélson Conceição da Luz,66,72,1400000,LW,LM,Angola,24,Vitória de Guimarães,3000,3200000,32,58,Midfield
8763,Nelson Amarilla,66,66,275000,CB,CB,Paraguay,34,Club Deportivo Guabirá,500,591000,68,74,Defense
8764,Enrique Clemente Maza,66,76,1800000,"CB,LB",CB,Spain,23,Unión Deportiva Las Palmas,2000,3200000,66,69,Defense
8765,Nicolas Bürgy,66,69,1000000,CB,CB,Switzerland,26,Viborg FF,3000,1300000,67,69,Defense
8766,Emre Taşdemir,66,67,925000,"LB,LM",LM,Turkey,26,Galatasaray SK,15000,1800000,60,59,Midfield
8767,Lucas Suárez,66,67,900000,"LB,CB",CB,Argentina,27,Club Atlético Talleres,4000,1400000,67,72,Defense
8768,Simone Rapp,66,66,850000,ST,ST,Switzerland,29,Karlsruher SC,5000,1400000,33,75,Attack
8769,Owen Dale,66,72,1400000,"RM,RW",RM,England,23,Portsmouth,4000,0,29,56,Midfield
8770,Joseph Champness,66,69,0,"LW,LM",LW,New Zealand,25,Free agent,0,0,24,58,Attack
8771,Hugo Novoa Ramos,66,79,2000000,"ST,CF",ST,Spain,19,RB Leipzig,8000,4700000,22,45,Attack
8772,Matheus Pereira de Souza,66,75,1800000,LB,LB,Brazil,21,FC Vizela,1000,4099999,60,67,Defense
8773,Habib Keïta,66,77,1900000,"CM,CDM",CAM,Mali,20,KV Kortrijk,11000,0,56,59,Midfield
8774,Denis Thomalla,66,66,850000,"CF,CAM,ST",CF,Germany,29,1. FC Heidenheim 1846,8000,1300000,36,67,Attack
8775,Sayfallah Ltaief,66,75,1900000,"LM,LW,RM",RM,Switzerland,22,FC Basel 1893,5000,3200000,31,57,Midfield
8776,Lucas Barros da Cunha,66,73,1600000,LB,LB,Brazil,22,Gil Vicente FC,3000,3700000,66,60,Defense
8777,Víctor Mendoza,66,69,850000,GK,GK,Ecuador,27,Barcelona Sporting Club,500,1900000,31,64,Goalkeeper
8778,Paul McGinn,66,66,575000,"CB,RB",CB,Scotland,31,Motherwell,2000,1000000,65,73,Defense
8779,Bruno Vides,66,66,850000,"ST,LW",ST,Argentina,29,Club Atlético Huracán,5000,1300000,39,70,Attack
8780,Dario Van den Buijs,66,69,1000000,CB,CB,Belgium,26,RKC Waalwijk,2000,1500000,66,67,Defense
8781,Przemysław Szymiński,66,68,850000,CB,CB,Poland,28,Frosinone,1000,1400000,67,69,Defense
8782,Tom Lowery,66,71,1300000,"CM,CDM",CAM,England,24,Portsmouth,4000,2400000,56,50,Midfield
8783,Runar Espejord,66,68,1100000,ST,ST,Norway,26,FK Bodø/Glimt,2000,1500000,29,69,Attack
8784,Erik Friberg,66,66,275000,"CM,CDM",CM,Sweden,36,BK Häcken,2000,344000,58,68,Midfield
8785,Yuber Mosquera,66,66,150000,CB,CB,Colombia,37,C.D. Universidad Católica del Ecuador,500,323000,64,73,Defense
8786,Kristoffer Løkberg,66,66,825000,CM,CM,Norway,30,Viking FK,2000,1000000,62,76,Midfield
8787,Žan Rogelj,66,73,1700000,"RM,RWB",RWB,Slovenia,22,WSG Tirol,3000,2800000,58,66,Defense
8788,Niko Hansen,66,66,900000,RM,RM,Denmark,27,Minnesota United FC,3000,1400000,45,63,Midfield
8789,Vincent Vermeij,66,66,925000,ST,ST,Netherlands,27,SC Freiburg II,2000,1300000,31,74,Attack
8790,Kevin Kabran,66,66,850000,"RW,LW",RW,Sweden,28,Viking FK,2000,1100000,45,72,Attack
8791,Denis Haruț,66,72,1300000,"RB,CB,CDM",RB,Romania,23,FCSB (Steaua),4000,2000000,64,71,Defense
8792,Zargo Touré,66,66,550000,CB,CB,Senegal,32,Dijon FCO,2000,963000,63,75,Defense
8793,Gilson Benchimol Tavares,66,77,1900000,"CF,ST",CF,Cape Verde Islands,20,Estoril Praia,2000,4400000,20,50,Attack
8794,Evert Linthorst,66,73,1700000,"CM,CDM",CAM,Netherlands,22,Go Ahead Eagles,3000,2800000,61,71,Midfield
8795,Enzo Roldán,66,75,1900000,"CM,RM,CDM",CAM,Argentina,21,Unión de Santa Fe,3000,3200000,61,62,Midfield
8796,Daniel Aceves,66,77,1800000,LB,LB,Mexico,21,Real Oviedo,2000,3200000,63,60,Defense
8797,Jorge Valdez Chamorro,66,66,850000,"CM,CAM",RM,Argentina,28,Patronato,5000,1200000,55,65,Midfield
8798,Sergio Molina Beloqui,66,71,1100000,"CDM,CM",CDM,Spain,26,FC Andorra,2000,1800000,65,63,Other
8799,Amor Layouni,66,66,850000,"RW,LW",RW,Tunisia,29,Vålerenga Fotball,2000,1100000,35,63,Attack
8800,Hector Jimenez,66,66,450000,"RB,LB",RB,United States,33,Austin FC,2000,675000,64,65,Defense
8801,Aldo Florenzi,66,76,1900000,CM,CAM,Italy,20,Cosenza,800,3300000,51,62,Midfield
8802,Habib Sylla,66,72,1300000,RB,RB,Côte d'Ivoire,23,GD Chaves,2000,2900000,62,66,Defense
8803,Stephen Humphrys,66,70,1200000,ST,ST,England,24,Heart of Midlothian,4000,0,37,77,Attack
8804,Jari Vlak,66,71,1200000,"CDM,CM",CM,Netherlands,23,FC Emmen,2000,1800000,62,72,Midfield
8805,Callum Wright,66,75,1900000,CM,CAM,England,22,Blackpool,4000,3900000,57,66,Midfield
8806,Hassan Tombakti,66,75,1800000,CB,CB,Saudi Arabia,23,Al Shabab,8000,3400000,65,76,Defense
8807,Rasmus Jönsson,66,66,675000,"CAM,ST",CF,Sweden,32,Helsingborgs IF,1000,844000,39,65,Attack
8808,Billy Bodin,66,66,825000,"RW,RM",RW,Wales,30,Oxford United,4000,1400000,47,56,Attack
8809,Donat Rrudhani,66,75,1900000,"LM,RM",LM,Kosovo,23,BSC Young Boys,6000,3200000,27,66,Midfield
8810,El Mehdi Moubarik,66,76,1800000,CDM,CDM,Morocco,21,Al Ain FC,500,4300000,62,69,Other
8811,Emiliano Villar,66,76,1900000,"CF,ST",ST,Uruguay,22,Cerro Largo Fútbol Club,500,4500000,30,68,Attack
8812,Robson Leandro Dos Santos,66,66,750000,"RB,CB",RB,Brazil,29,Club Deportivo Jorge Wilstermann,500,1600000,64,75,Defense
8813,Moo Yol Go,66,66,725000,"ST,LW",ST,Korea Republic,31,Gangwon FC,3000,906000,31,64,Attack
8814,Otar Kakabadze,66,67,900000,"RWB,RM",RWB,Georgia,27,Cracovia,3000,1300000,60,71,Defense
8815,Luka Bogdan,66,71,1100000,CB,CB,Croatia,26,Ternana,7000,0,67,70,Defense
8816,Filip Bednarek,66,66,575000,GK,GK,Poland,29,Lech Poznań,3000,805000,44,65,Goalkeeper
8817,Joel Bagan,66,76,1800000,"LB,LWB",LB,Republic of Ireland,20,Cardiff City,7000,3700000,63,64,Defense
8818,Rachid Bouhenna,66,66,575000,CB,CB,Algeria,31,FCSB (Steaua),5000,776000,64,78,Defense
8819,Alexandru Țigănașu,66,66,600000,LB,LB,Romania,32,FC Botoşani,3000,810000,62,70,Defense
8820,Derrick Jones,66,71,1100000,"CDM,CM",CDM,United States,25,Charlotte FC,2000,1700000,61,81,Other
8821,Sebastián Guerrero,66,76,1900000,"ST,CAM",ST,Uruguay,21,Platense,4000,3200000,29,66,Attack
8822,Jay-Roy Grot,66,73,1700000,"ST,LW",ST,Netherlands,24,Viborg FF,4000,2500000,47,82,Attack
8823,Artur Rudko,66,66,575000,GK,GK,Ukraine,30,Lech Poznań,2000,805000,35,68,Goalkeeper
8824,Massimiliano Mangraviti,66,71,1200000,"CB,LB",CB,Italy,24,Brescia,1000,2000000,65,70,Defense
